sex,year,agecat_1,loc,deaths,PYO,births,y_bloc
f,2003,5,Ngerenya,1,1922.01,218,2003-06
f,2003,55,Ngerenya,6,323.63,218,2003-06
f,2003,65,Ngerenya,3,158.29,218,2003-06
f,2003,15,Ngerenya,0,1235.19,218,2003-06
f,2003,45,Ngerenya,8,395.9,218,2003-06
f,2003,1,Ngerenya,4,904.07,218,2003-06
f,2003,0,Roka,4,16.57,215,2003-06
f,2003,55,Roka,7,320.65,215,2003-06
f,2003,25,Roka,3,835.65,215,2003-06
f,2003,15,Roka,2,1170.73,215,2003-06
f,2003,65,Roka,6,153.78,215,2003-06
f,2003,1,Roka,3,999.63,215,2003-06
f,2003,75,Roka,5,70.68,215,2003-06
f,2003,5,Roka,1,1995.66,215,2003-06
f,2003,0.0767,Roka,2,211.96,215,2003-06
f,2003,45,Roka,2,371.47,215,2003-06
f,2003,35,Roka,9,515.51,215,2003-06
f,2003,0.0767,Sokoke,3,116.14,123,2003-06
f,2003,45,Sokoke,1,260.43,123,2003-06
f,2003,1,Sokoke,2,599.5,123,2003-06
f,2003,35,Sokoke,0,360.47,123,2003-06
f,2003,55,Sokoke,6,201.04,123,2003-06
f,2003,0,Sokoke,2,9.52,123,2003-06
f,2003,5,Sokoke,1,1217.1,123,2003-06
f,2003,75,Sokoke,2,39.65,123,2003-06
f,2003,15,Sokoke,3,605.78,123,2003-06
f,2003,25,Sokoke,9,509.5,123,2003-06
f,2003,65,Sokoke,3,121.66,123,2003-06
f,2003,55,Takaungu Mavueni,11,436.76,413,2003-06
f,2003,5,Takaungu Mavueni,10,3224.3,413,2003-06
f,2003,25,Takaungu Mavueni,10,1489.07,413,2003-06
f,2003,45,Takaungu Mavueni,9,786.27,413,2003-06
f,2003,15,Takaungu Mavueni,8,1892.74,413,2003-06
f,2003,0,Takaungu Mavueni,9,31.17,413,2003-06
f,2003,65,Takaungu Mavueni,9,242.22,413,2003-06
f,2003,35,Takaungu Mavueni,3,896.35,413,2003-06
f,2003,0.0767,Takaungu Mavueni,15,410.77,413,2003-06
f,2003,75,Takaungu Mavueni,11,125.05,413,2003-06
f,2003,1,Takaungu Mavueni,22,1597.22,413,2003-06
f,2003,15,Tezo,6,1757.21,286,2003-06
f,2003,55,Tezo,12,383.01,286,2003-06
f,2003,65,Tezo,7,217.09,286,2003-06
f,2003,5,Tezo,2,2673.43,286,2003-06
f,2003,0.0767,Tezo,2,306.91,286,2003-06
f,2003,1,Tezo,11,1341.88,286,2003-06
f,2003,45,Tezo,7,579.68,286,2003-06
f,2003,0,Tezo,8,22.23,286,2003-06
f,2003,75,Tezo,7,72.98,286,2003-06
f,2003,25,Tezo,10,1177.11,286,2003-06
f,2003,35,Tezo,10,767.89,286,2003-06
f,2003,45,unknown,0,16.49,13,2003-06
f,2003,25,unknown,2,56.85,13,2003-06
f,2003,65,unknown,0,4.96,13,2003-06
f,2003,55,unknown,1,9.82,13,2003-06
f,2003,35,unknown,0,20.91,13,2003-06
f,2003,75,unknown,0,2,13,2003-06
f,2003,0.0767,unknown,0,9.65,13,2003-06
f,2003,15,unknown,0,61.84,13,2003-06
f,2003,5,unknown,0,90.88,13,2003-06
f,2003,1,unknown,0,39.21,13,2003-06
f,2003,0,unknown,0,0.86,13,2003-06
f,2003,45,Ziani,6,456.54,195,2003-06
f,2003,35,Ziani,1,538.33,195,2003-06
f,2003,5,Ziani,3,1895.77,195,2003-06
f,2003,0.0767,Ziani,8,208.37,195,2003-06
f,2003,25,Ziani,9,818.64,195,2003-06
f,2003,75,Ziani,6,53.77,195,2003-06
f,2003,15,Ziani,3,1032.84,195,2003-06
f,2003,65,Ziani,8,143.51,195,2003-06
f,2003,0,Ziani,0,15.17,195,2003-06
f,2003,1,Ziani,14,911.08,195,2003-06
f,2003,55,Ziani,6,301.06,195,2003-06
m,2003,55,Banda ra salam,1,137.57,171,2003-06
m,2003,45,Banda ra salam,6,201.53,171,2003-06
m,2003,0.0767,Banda ra salam,3,144.74,171,2003-06
m,2003,25,Banda ra salam,2,265.79,171,2003-06
m,2003,5,Banda ra salam,9,1426.84,171,2003-06
m,2003,0,Banda ra salam,0,12.83,171,2003-06
m,2003,35,Banda ra salam,2,188.27,171,2003-06
m,2003,65,Banda ra salam,2,92.78,171,2003-06
m,2003,75,Banda ra salam,7,45.45,171,2003-06
m,2003,15,Banda ra salam,2,642.14,171,2003-06
m,2003,1,Banda ra salam,8,628.95,171,2003-06
m,2003,35,Chasimba,2,358.29,289,2003-06
m,2003,0,Chasimba,1,22.23,289,2003-06
m,2003,25,Chasimba,3,454.28,289,2003-06
m,2003,0.0767,Chasimba,3,280.97,289,2003-06
m,2003,55,Chasimba,11,278.8,289,2003-06
m,2003,45,Chasimba,7,336.38,289,2003-06
m,2003,15,Chasimba,3,1285.39,289,2003-06
m,2003,5,Chasimba,6,2599.05,289,2003-06
m,2003,1,Chasimba,12,1298.67,289,2003-06
m,2003,75,Chasimba,6,86.51,289,2003-06
m,2003,65,Chasimba,8,151.49,289,2003-06
